,reviewText,Positive
187,... game ... ffor kid ... r throwing bird ! ... dumb ! made angry bird . xhhshsjsjsnsn shshs,0
188,played app load add . deleted load run .,0
189,game unbeatable . part absolutely duck 1star eeeeeeeeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww ! ! ! ! ! ! ! ! ! ! ! ! ! waste stupid app space 4 dis,0
190,probably popluar game 've played . honest . time played it.just game fling . sound extremely dismissive cynical is.i sort grew,0
191,"simple learn difficult master great sign game design . requires amount finger gymnastics . easier play larger screen.on streak , remove sd card installing",1
192,fun game block screen stupid film livid game lose shot,0
193,"game . install ad delete , complete level unlocks.it deleted progress .",0
194,game suck lame . & hellip ; different bird different power & hellip ; boring . 'it fun minute 's & hellip ; game & hellip ; sadly & hellip ;,0
195,dint understand obsessed stupid game ! hard wan play . red bird dosnt . bottom line .. suck waste time dowloding space device .,0
196,'s boring . n't hype . stupid bird n't . aim fail . 'm glad free version n't buy fun,0
197,"'m big game player phone . rockin pc 19 & quot ; monitor game play . , angry bird , . fun , addicitive challenging player interested ... making impossible",1
198,n't likel bird ! guy fun watch play . love level design created character . n't wait see/play future game .,1
199,waste ten minute waiting great game . addicting .,1
200,game free steal promise n't disappointed robin disappoint .,1
201,"easy play understand , character cute , game colorful , level pas",1
202,", addictive . definitely beat price . put away , n't daily chore completed .",1
203,"standard original version game . level , lot challenge . easy play lag issue loading . work .",1
204,addicted angry bird ! great app work perfect kindle fire ! free !,1
205,"started , angry bird ground breaking , game . tablet complete . , , .",1
206,love game.it worth wait downloading . registered gift card/credit card.every age enjoy .,1
207,"downloaded 's nabi jr , 's favorite game . angry bird free apps downloaded play adult 5 year .",1
208,age ! definitely harder make game . fun,1
209,fact love angry bird 's fun cool 's level free . 's disappointing,1
210,"free angry bird ... amazing , funny different ( complicated ) level spent time . angry bird game .",1
211,"angry bird game , fun addictive . free version supported make slower older phone . . .",1
212,great game helped pas time . wish level n't complain free game .,1
213,angry bird . . . play . . word word,1
214,fun . thing . eventually money 's worth .,1
215,"addicting game age 3 . funny , bird backwards , , challenge play level . hesitant game glad finally checked discovered",1
216,'s fun easy . level difficult addictive . game .,1
217,free app shocked level included . lot hour play .,1
218,"game entertained week . admit , reluctant jump 'angry bird ' wagon , glad ! clever , simple game ( ) offer upgrade unlocks p",1
219,love game= ] 's n't game . angry bird mom 's phone immediately hooked .,1
220,making app ! ! sooooooo addicting ! ! 's love ! & lt ; 3 & rarr ; & heart ; ! ! reccomend app waste time playing game & hellip ; 5 & # 9733 ; 's,1
221,addicting game caused drain phone battery time . larger screen kindle make bit easier 's .,1
222,"ran battery daughter 's phone , found version pc , game fire . great fun , addictive , great time-waster - great fun especially free game hour hour",1
223,choose 5 star rating enjoys playing angrybirds complained work . recommend .,1
224,"love ! kid love . wife hate , 's luddite n't count . addictive game .",1
225,"long time downloaded kindle , remember original ? ! , angry bird game great !",1
226,5 year love game family . bingo high score level . recommend game ! !,1
227,love game great stress reliever ... love display kindle fire . play hour time score back replaying level .,1
228,"love play game regular computer , eye sight n't play phone play computer .",1
229,two-year-old love game video allowed watch mini cartoon angry bird 's fabulous,1
230,"soothing music angry bird , wacky funny addictive . angry ? fun game .",1
231,addictive game . family love game ! play clear level . fun stack friend family . play 2 clear board hand,1
232,game addictive . playing ad started popping grand kid play . immune .,1
233,great child kindle . occupied fill time 're travelling home,1
234,"angry bird . game love , addicting ! ! recommend kindle .",1
235,great play fire ! bigger screne everthing haha . pay 99 & cent ; remove add . add ! tiny blip top corner . !,1
236,started ! ! rovio great job concept . great time killer ! love !,1
237,"great game ! free game ad , lot fun play kindle fire .",1
238,theyve added bunch add anoying . fisrt uber add .,0
239,love addicting wife divorce game sticking birdie angry bird angry woman great game,1
240,"fun 's kindle ! fun version , original fun bird !",1
241,love angry bird addicting . love love love . worth download fun love,1
242,enjoyed angry bird free . lot fun family . easy !,1
243,"love beat game . kid probably beat . beat . hang'em high number 1. n't finished , 'll !",1
244,real challenge . dad knowledge construction passed . helpful collapsing structure frog . n't enjoy ?,1
245,4 year-old grandson absolutely love ! play time visit entertained !,1
246,"angry bird kid , love challenge level . find 'm worried wait appointment mind occupied .",1
247,"measure ability project speed location target , practice , angry , smile !",1
248,"game problem kindle fire ad .. upset . , free game advertisement ! , game age . amazing game doubt ! ! !",1
249,addictive challenging ... recommend ... love ... make brain hurt figure strategy ..,1
250,"game highly addicting , lot fun . thin n't annoying screen asks user pay game playing . middle game play , abruptly stop",1
251,love angry bird . game world . play angry bird . & lt ; 3 ( & ; ^ & ; ),1
252,enjoy playing lt play day lt diffence form gamei plaved,1
253,fun game age family friend play,1
254,angry bird . game fun,1
255,great fun family ! kid play trip ! husband put .,1
256,love playing game addictive ughhh recommend angry bird.apps game,1
257,angry bird game lose time ! great game ! app year back probs . ad exit . great fun game,1
258,love angry bird 360 kindle fire hd ! great product ! ..,1
259,downloaded game night daughter played battery died . kindle charged playing morning . 's addictive .,1
260,"started angry bird series , fun fun fun fun fun",1
261,game awesome great pas time hate ad amazon rid ad spending money ? epic game : ),1
262,heard lot talking crazy game . fun ! 'd recommend . entertaining !,1
263,played game heard thing . addictive . plan time play 'll play time .,1
264,love angry bird . addicting challenging game . harder fun .,1
265,"original game game time , sequel . recent game power ups ruined .. 's longer worthy game ... left .. ,",0
266,"interesting kid . love game started playing , favorite game . love bird .",1
267,grand kid play trip worth load think awesome fast,1
268,angry bird fun play challenging . sample game play .,1
269,"game full variety , find level frustrating , pain ! sorry .",1
270,love game addicting play stop free apps,1
271,"rating 6 year angry bird year ! fun , let play !",1
272,"kindle fire , game grandkids play -- play . hit hubby !",1
273,angry bird console hand held game played . fun instant played . playing snarky pig ! gameplay easy . finger launch bird,1
274,"fun family , toe level , fun game play .",1
275,"game addicting ! issue , bird supposed tap screen , rarely . awesome game ! n't wait : - )",1
276,wanted game kindle . easy learn played time .,1
277,! ! bird laugh miss make . love game strategy entertainment .,1
278,love game play day highly recommend game device game .,1
279,fun game hard stop playing . rated 5 star recommend .,1
280,"loved game , 'm horrible . give angry bird lesson ? 'll sign !",1
281,playing game . addictive level time .,1
282,grandson granddaughter favorite . young house game . fun,1
283,"great game kid free , play n't n't blown yor gaming budget",1
284,"n't believe game drew . quickly played level , started back achieve 3 star level . proving real challenge . lot time , hard put .",1
285,"daughter game , thier , love , make yr kid happy , leave .",1
286,wife play game kindle like . recommends play computer game .,1
287,"played . supported version , annoying game .",1
288,"great pas time ..... addictive free app , fun increase score !",1
289,game great fun culture . n't playing short time addictive . 1am shut sleep .,1
290,"4 year grandson fun showing play mini ipad decided kindle fire ! found , spent night w/ showed ,",1
291,love game ! free .. played angry bird fuss ! !,1
292,"start playing game , hard stop . caught forget .",1
293,angry bird apps place family device . # 1 game house .,1
294,angry bird device love play 'm great game love play .,1
295,'s angry bird . probably famous phone/tablet game existence . 're enjoy download .,1
296,"addicted game . n't beat level eagle , back waiting eagle , frustrated level ...",1
297,glad angry bird coming different theme space beach scene . love .,1
298,love game 's free lot advertisement level 's annoying . download .,1
299,love game addicted game ! stop playing game ! great graphic !,1
300,red mighty feather lost added horrible update unique 's level,1
301,"program problem opening installed successfully . deleting reinstalling avail . , ?",1
302,"loved playing angry bird mom 's ipad , kindle fire pleased free angry bird app kindle . = ) love playing time kill , kid love , . , playing kindl",1
303,n't angry bird ? game kindle remains favorite . fun !,1
304,time played ! addictive ! recommend app ! star war fun !,1
305,kind boring - novelty worn . 've removed tablet . set .,0
306,game fun . n't game 's reason rating .,0
307,playing game fun addicting play love,1
308,"wow , ver funny fun game . start play put away day .",1
309,fun game . play hour . sound make . love accidently send fellow backwards ! ! !,1
310,"game kinda moved apps . , return date . love big black bird blow .",1
311,addictive game . wish idea angry bird . wish update add level .,1
312,'s hard love miserable pig smiling blinking ! 's fun .,1
313,"nice game . played angry bird . , purchased tablet , game downloaded . addictive short amount time . nice waste spare time .",1
314,love game ! ! ! graphic music fun . make smile . 's surprise 's popular,1
315,great graphic work great kindle fire hd love level . wish connect facebook,1
316,"game addictive - harder , beat . age .",1
317,playing game .... lot fun hour entertainment . frustrating level make accomplish level .... fun game . strategy needed ... offer learning . everyh,1
318,neat angry bird variety game . tired !,1
319,"played angry bird , love . 's happy !",1
320,addicting game - lot 's fun . find game challenging . firsttime played game - grandkids play time i-pods .,1
321,angry bird tablet phone . 's addicting super fun knock smug piggy !,1
322,ad annoying pop awhile unlike game pop round played .,1
323,easy hooked complete waste time .... enjoyable game play .,1
324,angry bird . cute . great purchase . age enjoy game .,1
325,"5 yr love game , play time 's favorite game , personally n't play , kool .",1
326,love game ! ad . update amazing ! love level ! bird ! !,1
327,'s easy grandkids pick skill needed play game . quiet time rainy day .,1
328,great game fun play . play long short time available fun .,1
329,play fix work play .,0
330,awesome play kindle playing pas time waiting,1
331,"love app . 's fun play easy learn . , 's free . kid adult alike .",1
332,wonderful time suck . wish pas level bit quicker . take bit .,1
333,started playing game 9:00 pm n't stop 2:00 . 's fun challenge kid adult alike enjoy . creativity 's !,1
334,'m hooked . drive nut entertained coming back . bif hit .,1
335,work kindle fire . recommend . fun play . lock ups . graphic . add .,1
336,addicted game.it made buy angry bird star wars.i highly recommend .,1
337,"'s angry bird kindle . great kindle fire hd , 's fun play 'm bored .",1
338,"angry bird game hit absolute popularity mobile gaming market , 's . ad n't bother hate , turn wifi playing game . lot level",1
339,great waste time . 7 year love compete high score ! great load !,1
340,'s playing angry bird phone wider screen make easier,1
341,app great fun addicting . tablet small touch screen phone .,1
342,"bird back free version original keeping kid happy satisfied pecking action . n't problem running game n't level real game , 's addictiv",1
343,", 's easy littleharder . buy small cellphone , kindle fire hd",1
344,"house love app . 18 month , 6 year , grandma . app free version angry bird .",1
345,? game fun addictive . game fun excitement played ..,1
346,"burn time , beat free . 've bought back clear level star . grrr . n't level available .",1
347,crazy game . frustrating fun time . crazy !,1
348,"grandson downloaded app play road trip ..... asked remove , & # 34 ; grammy , 'd love , 'll show delete , show play ! & # 34 ; .....",1
349,"fun game free . lot challenging level . love , husband love , 4 yr grandson love is.give",1
350,game pretty fun.what pick kind level want.then shout angry bird knock buildings.well 's all.hope game .,1
351,bird someting lot fun shooting air hitting thing . premier bird . fun .,1
352,grandson love . n't play occupied . game .,1
353,"enjoy anry bird game , grandkids . fun play .",1
354,"heard lot angry bird , wans't . downloaed kindle , pretty fun !",1
355,love game played knew kindle game .,1
356,hit grandson . attention waiting doctor office ... pro .,1
357,"fun smash thing , clean . love play different game . !",1
358,'s addicting challenging . play downtime 'm waiting pick friend . game,1
359,"application.i game stupid , playing ! hour ! realized flipping amazing .",1
360,order game online download n't write review . hit miss n't ?,1
361,frustrating rapidly addictive . addicted day crochet space invader,1
362,interesting excellent app . hope angre bird space free download kindle 's user . lot .,1
363,fun game play occasionally ( stuck traffic waiting room ) . higher level difficult !,1
364,n't . finished level n't realize verisions . 'm hooked .,1
365,"kindle great internet hold back playing n't internet , doc office hospital treatment room ( renegade treatment ) n't play .",1
366,"beat game . ! young , enjoy !",1
367,downloaded angry bird kindle & definitely love playing . highly recommend game & kid & grandkids play !,1
368,free application let angry bird . purchased kindle fire . 's free take second load . great age !,1
369,angry bird application . angry bird application . repeat - fun .,1
370,3 year grandson love game . love diffrent level . make stop playing game kindle . n't game junkey . kid play pretend play .,1
371,. 's addictive & love ! needed add 5 word submit review .,1
372,"game waiting appointment , interrupted dr. appt . miserable hero bird waiting . addicting . ... game play",1
373,enjoy playing game ! love different level ! game addicting !,1
374,set asked give shot . found lot fun surprisingly entertaining . game ? giggle .,1
375,fun game level . terribly addicting challenge . version fun free,1
376,played understood angry bird kindle fire free app . hooked ! n't find ad problem strongly recommend free app spending money rid ad onl,1
377,4 year grandson play entertain hour .,1
378,silly lot fun,1
379,"driving crazy , dream making stupid pig bacon.lots great level annoying miss comingback . ugh . love game .",1
380,"entertaining fun ! play game angry bird ! fun , challenging great play waiting appointment , ! ! fun ! ! challenged blast , ! ! ! !",1
381,"'s angry bird , course 's fun . game occupied hour . annoyingly addictive .",1
382,find game fun aa bought kid enjoy . appreciate fact free .,1
383,"enjoyable game . love bird husband . 's challenge win downloads bird , 's fun .",1
384,"great kid ; , .... pass time wonderful happy .... laugh fun lot ; youngest pig killer grows ... brother work eagle ... great",1
385,addiictive game ! level advance challenging ! fun bored .,1
386,"game n't put , start ! game make keeping win !",1
387,"addicted game . n't put . installed kindle fire hd work perfectly ,",1
388,"kindle fire played game friend ipad , kick encouraged buy . 'm learning game make lot boo-boo 's , shooting bird back &",1
389,inducted crazy bird game lot . wanting pig matter . 's fun game age played kid .,1
390,game entertaining early teen younger . top 's free ! n't beat .,1
391,family play . enjoy free app . download full app .,1
392,bought game daughter girlfriend grandson love play find lot fun,1
393,"child enjoy game . graphic great . audio amusing . sliding motion , shoot bird attack move sling shot . bird break board , rock , attack pig . stage .",1
394,". learned aim bird bird , knock , miss . fun game .",1
395,recommend game . great spend device . brother lovecthis game . hope enjoy,1
396,"great game age 's great time killer . recommend paid version , 's expensive .",1
397,. 'm considering buying upgraded version . game make high score exciting .,1
398,free . run kindle fire hd . .. angry bird free . bring .,1
399,hate advertisement free app enable airplane 's free advertisement,1
400,"grandkids recommended , found entertainment , fun , 's free . level fustrating fill time .",1
401,angry bird enjoyable entertaining game play bored glad found .,1
402,started playing great game.needless awesome game ! work great kindle fire level play !,1
403,great time waster time frustrated . family love game .,1
404,angry bird mad tearing hideout . hide cave pinch .,1
405,omg . fantastic fantastic app . make . higher level harder,1
406,started game . grandson daughter help time put . enjoy .,1
407,"family ( age 4-44 ! ) play game love . free version plenty level play/master . ad n't obtrusive , n't bought full version .",1
408,"game , lot challenging level . app , bored . !",1
409,late angry bird husband absolutely love ! addictive totally capture attention !,1
410,'s amazing app kid adult . 's simple hard.i recommend,1
411,love angry bird . exposure somply & # 34 ; chewing gum & # 34 ; mind eye .,1
412,"kid angry bird , enjoy exploring playing game",1
413,awesome update level superpower n't buy hd full version free !,1
414,enjoy playing game stressful day . help relax bed time . recommend freinds,1
415,continue evil piggy help app level battle .,1
416,4 year love . love great leaning game .,1
417,bird flying small turn tree touch fun enjoyable,1
418,game . love funny bird entertained hour . passed game luck loved . totally recommend age . free kindle fire,1
419,"'m faced situation make wish `` smack jerk silly '' , non-driver cut drive home , smart-aleck store clerk , telephone money solicitor dinner , angry bird vent",1
420,expecting boring . awesome ! _____ pig . suggest .,1
421,love app - especially grand child play game kindle everytime .,1
422,kill bit time playing game . alot replay value .,1
423,game fantastic make level share online friend community play,1
